Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Monthly payroll payment,281765,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST liability paid,445067,GST,GST Payable,GST Payable Dr | To Bank,Liability
Warehouse rent paid,408732,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Legal fees paid,291988,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank commission charged,43254,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Hotel expense paid,411334,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Employee salary transfer,444261,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,377454,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Revenue received from client,252754,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Customer payment received,351827,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Facebook advertisement expense,373896,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
CA fees paid,451098,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Processing charges deducted,214025,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Transaction charges deducted,309479,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,32440,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Staff salary paid,316105,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank service fee charged,149345,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance renewal paid,297532,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Travel reimbursement paid,63362,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Vehicle purchased,313562,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Building rent payment,20185,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,68383,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle purchased,359706,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Google advertisement expense,42921,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,188935,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,460096,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Insurance renewal paid,160109,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer payment received,164164,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Marketing campaign expense,417882,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,57792,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank service fee charged,343262,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST deposited,114492,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,62311,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Flight ticket booked,433968,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Utility expense paid,454568,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank charges deducted,127301,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Audit fees paid,107212,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Advertising charges paid,376273,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Building rent payment,42078,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan principal paid,120178,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Term loan payment made,29225,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST tax deposited,492827,GST,GST Payable,GST Payable Dr | To Bank,Liability
Utility expense paid,100372,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST payment made,21440,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,433079,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank service fee charged,312554,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST deposited,136489,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST payment made,283792,GST,GST Payable,GST Payable Dr | To Bank,Liability
Google advertisement expense,293120,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST payment made,228377,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST liability paid,59572,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank loan installment paid,141803,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Internet bill paid,260546,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Building rent payment,225354,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank loan installment paid,5736,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Health insurance premium,169178,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan repayment made,479604,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Taxi fare paid,446314,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office furniture purchased,474090,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,166260,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Insurance renewal paid,127240,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Google advertisement expense,366225,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,468000,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Processing charges deducted,387324,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Computer equipment purchased,348787,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank commission charged,292690,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST challan payment,428378,GST,GST Payable,GST Payable Dr | To Bank,Liability
Professional charges paid,411376,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Building rent payment,326800,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Building rent payment,150363,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly rent transferred,32376,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST tax deposited,496030,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank loan installment paid,305741,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan EMI paid,61822,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Building rent payment,222195,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Marketing campaign expense,489407,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Salary paid to employees,162024,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank charges deducted,472285,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business travel expense,160526,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Processing charges deducted,273300,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Office furniture purchased,343649,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Health insurance premium,255960,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan EMI paid,61759,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Vehicle insurance paid,299136,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST tax deposited,190416,GST,GST Payable,GST Payable Dr | To Bank,Liability
Employee salary transfer,20041,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST deposited,460269,GST,GST Payable,GST Payable Dr | To Bank,Liability
Advertising charges paid,440495,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,182268,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan principal paid,406476,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST challan payment,330468,GST,GST Payable,GST Payable Dr | To Bank,Liability
Staff salary paid,267022,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Advertising charges paid,309558,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Water bill paid,158109,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Laptop purchased,104519,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST liability paid,412055,GST,GST Payable,GST Payable Dr | To Bank,Liability
Monthly payroll payment,270781,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Business travel expense,280682,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Marketing campaign expense,22815,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office rent paid,144390,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Building rent payment,459188,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Marketing campaign expense,467638,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Utility expense paid,73557,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Water bill paid,78189,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Legal fees paid,22783,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Term loan payment made,66317,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Bank commission charged,301582,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Processing charges deducted,451734,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Salary paid to employees,435345,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Marketing campaign expense,121834,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Business travel expense,388650,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,279035,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Rent expense booked,80704,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Loan repayment made,186235,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Vehicle purchased,470070,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Professional charges paid,413882,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Insurance premium paid,52029,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan repayment made,386683,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Travel reimbursement paid,318411,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer receipt recorded,176676,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Warehouse rent paid,235080,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Facebook advertisement expense,74989,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Revenue received from client,261060,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Health insurance premium,428535,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Salary paid to employees,121745,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,143218,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Telephone bill paid,152463,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Staff salary paid,221465,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Sales income received,361526,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Staff salary paid,98273,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,3696,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Hotel expense paid,409522,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Utility expense paid,388285,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Taxi fare paid,25917,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Rent expense booked,42105,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Travel reimbursement paid,94019,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Vehicle purchased,72003,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST payment made,115441,GST,GST Payable,GST Payable Dr | To Bank,Liability
Computer equipment purchased,420822,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank charges deducted,205517,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Warehouse rent paid,215096,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Promotional expense paid,292150,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Salary paid to employees,479292,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Warehouse rent paid,184839,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,162026,GST,GST Payable,GST Payable Dr | To Bank,Liability
GST deposited,36094,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan principal paid,198525,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Customer receipt recorded,134969,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Health insurance premium,371784,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Building rent payment,39221,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,202385,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Business travel expense,338628,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Taxi fare paid,212719,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Transaction charges deducted,452976,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Marketing campaign expense,398841,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Sales income received,256065,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,233078,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Processing charges deducted,239639,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Revenue received from client,30712,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business travel expense,464967,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Customer receipt recorded,70212,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,281904,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Facebook advertisement expense,486106,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Salary paid to employees,298211,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Computer equipment purchased,199408,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Advertising charges paid,427750,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,153265,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Customer receipt recorded,226727,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales income received,365755,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Consultancy fees paid,169746,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST payment made,273825,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank service fee charged,423146,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Marketing campaign expense,258219,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank commission charged,283246,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business travel expense,351606,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
